X,Y,Z
437830.7256,86796.6914,0.5000
437831.6423,86797.7785,0.5000
437832.6072,86798.8222,0.5000
437828.6918,86793.7789,0.5000
437829.0655,86794.3840,0.5000
437829.8643,86795.5601,0.5000
437833.6131,86799.8232,0.5000
437837.1724,86803.2797,0.5000
437837.6404,86803.8188,0.5000
437838.0824,86804.3796,0.5000
437834.6459,86800.7931,0.5000
437835.6796,86801.7614,0.5000
437836.6870,86802.7595,0.5000
437828.3371,86793.1623,0.5000
437826.7492,86786.9746,0.5000
437826.7224,86787.3401,0.5000
437826.7166,86787.7102,0.5000
437826.9828,86785.9421,0.5000
437826.8766,86786.2719,0.5000
437826.7997,86786.6173,0.5000
437826.7568,86788.4489,0.5000
437827.4294,86791.2345,0.5000
437827.7012,86791.8909,0.5000
437828.0053,86792.5332,0.5000
437826.8535,86789.1710,0.5000
437827.0009,86789.8754,0.5000
437827.1944,86790.5629,0.5000
437838.4875,86804.9635,0.5000
437841.4905,86821.6055,0.5000
437841.9326,86822.9553,0.5000
437842.1839,86823.6165,0.5000
437840.5758,86818.1695,0.5000
437840.7329,86818.8604,0.5000
437841.0942,86820.2365,0.5000
437842.4623,86824.2651,0.5000
437843.8484,86826.7292,0.5000
437844.6541,86827.9039,0.5000
437845.4943,86829.0571,0.5000
437842.7711,86824.8994,0.5000
437843.1076,86825.5204,0.5000
437843.4680,86826.1298,0.5000
437840.4405,86817.4764,0.5000
437839.5815,86807.5469,0.5000
437839.7321,86808.2428,0.5000
437839.8456,86808.9511,0.5000
437838.8445,86805.5726,0.5000
437839.1440,86806.2080,0.5000
437839.3876,86806.8674,0.5000
437839.9284,86809.6680,0.5000
437840.1473,86814.6782,0.5000
437840.2496,86816.0827,0.5000
437840.3316,86816.7808,0.5000
437839.9866,86810.3897,0.5000
437840.0548,86811.8322,0.5000
437840.0953,86813.2617,0.5000
437827.1209,86785.6317,0.5000
437859.7855,86790.2580,0.5000
437858.4238,86789.9291,0.5000
437857.7521,86789.7342,0.5000
437863.9853,86790.8558,0.5000
437862.5697,86790.7106,0.5000
437861.1687,86790.5150,0.5000
437857.0866,86789.5185,0.5000
437850.6229,86786.6444,0.5000
437849.3342,86786.0189,0.5000
437848.0335,86785.4144,0.5000
437855.7719,86789.0316,0.5000
437854.4739,86788.4845,0.5000
437853.1869,86787.8935,0.5000
437865.4119,86790.9611,0.5000
437883.9573,86790.8361,0.5000
437882.5539,86790.9860,0.5000
437881.1448,86791.1000,0.5000
437888.1280,86790.1364,0.5000
437886.7448,86790.4149,0.5000
437885.3544,86790.6470,0.5000
437879.7304,86791.1817,0.5000
437872.5964,86791.2292,0.5000
437869.7231,86791.1454,0.5000
437866.8460,86791.0374,0.5000
